"municipio","directo","fh","cv_directo","cv_fh","reduccion_cv"
"Balboa",0.45010901827639,0.491156877815676,24.5466745884741,9.11193928100398,15.4347353074701
"Sucre",0.592260763101386,0.520273790622075,24.2529163433651,9.09865033080543,15.1542660125597
"Inzá",0.504403345724611,0.483821534819663,24.2002241180071,10.0776034184239,14.1226206995832
"Florencia",0.523549226857493,0.506364611695786,22.5278880286301,9.06589962356299,13.4619884050671
"Santa Rosa",0.518069808102902,0.529972020609033,23.041267810954,9.62277881796615,13.4184889929879
"La Vega",0.527577733005663,0.553309709966664,21.2545701097264,8.06913734834789,13.1854327613785
"Almaguer",0.562525352371654,0.559935160654347,20.7687937656349,8.04707791214133,12.7217158534936
"Toribío",0.551408859073775,0.552540980574535,21.381569524038,8.74293405122878,12.6386354728092
"Piamonte",0.457677045801199,0.465135123645903,23.1770775266193,10.6011129587631,12.5759645678562
"Rosas",0.449638514692912,0.437114832481198,22.6042057157563,10.2358340146317,12.3683717011246
"Puracé",0.415306428882595,0.459588074928822,22.1139193320276,9.86783727646323,12.2460820555644
"Totoró",0.590158497641813,0.548042452795922,20.4075750691754,8.20370325275008,12.2038718164253
"Morales",0.524107460035218,0.522116831956112,21.5001398206854,9.30669295346533,12.1934468672201
"La Sierra",0.513091533789568,0.491121984708878,21.0445701116623,9.35740889839973,11.6871612132626
"San Sebastián",0.408009756402383,0.472095303915809,20.8477207054813,9.40570929862635,11.442011406855
"Buenos Aires",0.449296998852418,0.419857606817806,22.2576425169483,10.8762937857508,11.3813487311975
"Mercaderes",0.507048831931205,0.466113743947121,20.6267886216326,9.95182609721864,10.674962524414
"Alcalá",0.324586690009205,0.317734742480592,22.770968610581,12.5543015959134,10.2166670146676
"Padilla",0.378594269667572,0.337249055097905,22.0930457935599,12.4609650576319,9.632080735928
"Caldono",0.553082146130063,0.576952983086513,19.1305469864136,9.61780859323002,9.51273839318358
"Sotará Paispamba",0.42363483052891,0.444500694439995,18.8056041505998,9.96091582745995,8.84468832313985
"López de Micay",0.67339111537938,0.594267978950832,17.7679113620225,9.02064021728425,8.74727114473825
"Toro",0.373203694453804,0.330888705938396,20.6734634045016,11.9841136045088,8.68934979999283
"Caloto",0.381381786380106,0.387964893940413,19.0987034374947,10.5049468170919,8.59375662040283
"Argelia",0.346746769918103,0.374877985879505,19.3059864289454,10.7564940027071,8.54949242623834
"Versalles",0.399069270481297,0.346704683374542,19.8474681618419,11.5502469852578,8.2972211765841
"Bolívar",0.500368429949404,0.53797593497851,15.8401610971324,7.86504712265365,7.97511397447875
"Cajibío",0.508721465589494,0.471453288140162,16.7873629289616,8.98427483280594,7.80308809615566
"Riofrío",0.267094353991267,0.276006590057076,20.5528216099879,12.7590201895682,7.79380142041974
"Suárez",0.420860918532776,0.382566962207323,19.958848640125,12.1926833695551,7.76616527056987
"Corinto",0.313138472537286,0.319098409365926,19.6047121522768,11.9267859405862,7.67792621169064
"Sevilla",0.345379631579637,0.31797559399001,19.2555674184826,12.0095368591759,7.24603055930672
"El Cairo",0.254004114002871,0.272350486195431,20.9194357153031,13.726698848509,7.19273686679407
"El Dovio",0.427663486848989,0.361209568427039,19.7836879453427,12.7751228415945,7.0085651037482
"Ulloa",0.221857831780414,0.25999005854263,19.1938012680657,12.2906301363143,6.90317113175142
"Trujillo",0.362514157334695,0.346210832201247,18.0136245479041,11.1823707918313,6.83125375607278
"San Pedro",0.170695610315552,0.195003464493848,21.5584004671766,14.7340014885444,6.82439897863218
"Jambaló",0.619395990544596,0.58183967023668,16.6725673881417,9.93487589280621,6.73769149533549
"Obando",0.299571729054856,0.286060854440966,19.4288485775955,12.9851464553014,6.44370212229414
"Ansermanuevo",0.311294220007976,0.308384706869294,18.1555050930636,11.7430771576586,6.41242793540499
"La Victoria",0.287579897258377,0.274304720479169,18.3347246626241,12.7150469508624,5.61967771176169
"Guapi",0.549766265076062,0.575703874003174,13.0158737268763,7.59470592073814,5.42116780613816
"Roldanillo",0.2727397133463,0.239204629746023,20.1540678680206,14.759705945771,5.39436192224958
"La Unión",0.310276615368601,0.268040885085104,18.848435339799,13.4813311418427,5.36710419795631
"Florida",0.241902478104377,0.210565528682897,22.5034520974076,17.3648982479478,5.13855384945976
"Candelaria",0.0843703325877526,0.104334782327105,20.8240682089188,15.8716787499775,4.95238945894126
"Andalucía",0.170872931834585,0.186215363107352,19.3634035929395,14.4979048779108,4.86549871502865
"Patía",0.427856368967543,0.450791250184559,13.1376339289873,8.33259915815629,4.80503477083101
"El Cerrito",0.144691679449936,0.157184333124894,21.1506121505289,16.4008433515991,4.74976879892983
"Timbiquí",0.509420099635651,0.487539973106676,13.7714794614579,9.12930111154954,4.64217834990836
"Bugalagrande",0.166316423809804,0.187611438723638,17.931713498395,13.4552634375829,4.47645006081214
"Páez",0.557053293913796,0.584073226935947,13.1250934078747,8.91379276070418,4.21130064717052
"Timbío",0.485298379279879,0.414836367970693,14.1823712156706,9.97490948378321,4.20746173188739
"El Águila",0.294073076447916,0.29165596504989,16.5300776572456,12.3698731797643,4.16020447748127
"Restrepo",0.241473632865204,0.227521548154912,18.2245207805213,14.086303427065,4.13821735345632
"Miranda",0.198653480586513,0.216222018879699,16.9046832015641,12.8294094611507,4.0752737404134
"La Cumbre",0.147708363582434,0.173220563504266,17.545781632779,13.5343829820583,4.01139865072074
"Piendamó - Tunía",0.347038916776648,0.362453636815118,12.9401546038459,9.1405644037126,3.7995902001333
"Calima",0.198650799132813,0.199265993128194,18.2521435939196,14.9793885289098,3.27275506500981
"Vijes",0.236087412061672,0.233314294088713,15.5907803934242,12.4382674664128,3.15251292701143
"Silvia",0.594548828166253,0.583620122310163,9.71992439460408,6.77368407986707,2.94624031473701
"Zarzal",0.18600007617763,0.196629679906714,14.072917413374,11.7827163423367,2.29020107103732
"El Tambo",0.534467488422076,0.494510777795635,9.43488165243152,7.46123510948721,1.97364654294431
"Villa Rica",0.286909792264029,0.278731239085653,12.237631833306,10.270034255055,1.96759757825104
"Dagua",0.207021979672274,0.193305728007533,17.8543113407753,15.9142060901068,1.94010525066851
"Santander de Quilichao",0.247097867528779,0.263344497405306,10.6300076978836,8.82991343369775,1.80009426418586
"Cartago",0.293248262981083,0.274020100453848,12.5447014253517,11.1128428677376,1.43185855761415
"Yotoco",0.203630228528829,0.206981745598896,11.7538138595729,10.3474547875671,1.40635907200579
"Guadalajara de Buga",0.171840563775675,0.179526101219204,11.3881915354939,10.1436475333652,1.24454400212871
"Ginebra",0.261182422460713,0.232434268796978,13.3130510351452,12.1300381930779,1.18301284206726
"Argelia",0.238909085592395,0.25079710038854,20.3243083627791,19.1422950310787,1.18201333170039
"Pradera",0.201095575249391,0.193709990711545,13.6008665902874,12.4441233757796,1.15674321450777
"Palmira",0.20769656033191,0.212362913105729,10.4877873825819,9.40204521691259,1.08574216566931
"Guachené",0.314021505745962,0.315174887144238,9.34642812091606,8.26858799960316,1.0778401213129
"Tuluá",0.257428514132288,0.258086471930429,9.03719238745279,8.13863381548372,0.898558571969067
"Guacarí",0.142114639632979,0.144660509973552,11.8235942022951,11.0338281749102,0.789766027384859
"Bolívar",0.191834135533459,0.194592834261547,10.8355455204765,10.0688899946936,0.766655525782916
"Caicedonia",0.374839473966334,0.33882009806352,8.18321936325589,7.5936076581247,0.589611705131192
"Puerto Tejada",0.245146463189562,0.220110670581256,12.8515230155402,12.3679320801784,0.483590935361782
"Jamundí",0.206298512477446,0.200420832794279,9.92155426573837,9.55215353941274,0.369400726325628
"Buenaventura",0.583063980603387,0.586522352862768,6.80469304759643,6.55251339976812,0.252179647828309
"Popayán",0.387999218684024,0.387670805539059,2.67712639485498,2.64751731167578,0.0296090831792046
"Yumbo",0.281760420447449,0.275216320425933,4.48047333066217,4.4613132159922,0.0191601146699671
"Cali",0.236000150623116,0.234841397336332,2.83011766826779,2.82462940222765,0.0054882660401403
