"cod_mun","Municipio","pobreza_monetaria","error_estandar","varianza_pobreza","cvlog","pct_indigena_2024","pct_afro_2024","pct_menores15_2024","indice_envejecimiento_2024","pct_rural","pct_urbano","tasa_dependencia","categoria_617","extension","var_intercensal","idf_2024","cobertura_educ_2024","desercion_2024","analfabetismo_2018","analfabetismo_rural_2018","saber11_mate_2022","saber11_lectura_2022","pct_ocupados_form_2016","pct_primario_2023","pct_secundario_2023","pct_terciario_2023","peso_relativo_2023","tasa_mortalidad_2020","mort_infantil_1a_2020","cobertura_pentavalente_2020","bajo_peso_2020","control_prenatal_4_2020","promedio_prenatales_2020","mort_infantil_5a_2020","fecundidad_15_19_2020","mort_neonatal_2020","partos_calificados_2020","tasa_hurto_2019","tasa_homicidios_2019","tasa_extorsion_2019","tasa_violencia_intra_2019","recaudo_predial_2020","pct_predios_urb_2022","pct_predios_rur_2022","acueducto_2018","alcantarillado_2018","energia_2018","internet_2018","iica_2023","dist_popayan_km","dist_cali_km","dist_capital_km","dist_carretera_km","snap_km","aislado_vial","pdet","coca_pct_territorio","desplaz_tasa_1000","victimas_tasa_1000","cotizantes_tasa_1000","pagos_admin_pc","pagos_total_pc","ingresos_corrientes_pc","ingresos_no_trib_pc","transferencias_pc","sgp_pc","recursos_capital_pc","predios_pc","pct_contributivo","pct_subsidiado","pct_excepcion","pct_sisben_A","tiene_coca","tiene_mort_materna","tiene_mort_ira","tiene_pagos_salud","tiene_empresas_formales","log_valor_agregado_pc","log_avaluo_promedio","log_ingresos_tributarios_pc","log_densidad_2024","log_pob_total","log_ingresos_pc","rural_intermedio","rural","rural_disperso"
"19001","Popayán",0.387999218684024,9.69908992576707e-05,0.000107894536586391,0.0267712639485498,3.58,2.18,18.93,84.1,17.69,82.31,43.1,1,464,23.51,66.2,106.67,3.38,3.9,8,54.37,55.95,39.48,1.30258546528373,12.3326981399985,86.3647163947178,26.677781615515,6.46,12.65,81.86,8.74,87.82,6.14,10.92,39.92,6.66,99.68,1127.67,17.7,42.55,318.95,5.72,69.3,30.7,96.12,84.9,99.5,75,3,0,103.499692968292,0,4.6641,0.00540654918061695,0,0,0,4.45982711712643,4.86448324551434,210.960269081976,4787768.66805283,14705485.6591016,2299561.39057926,1728142.10213119,1638701.36325493,1035851.11101353,360510.080305587,0.398884756230556,47.7442935906697,47.8819759580655,4.37373045126476,32.6135620070944,0,0,0,1,1,-3.92707502168174,3.72200030195139,13.255878524681,6.60563615873259,12.7612328076052,14.7938635491506,0,0,0
"19022","Almaguer",0.562525352371654,0.00566128352641015,0.0136491858851204,0.207687937656349,20.6,0.06,22.37,73.32,94.09,5.91,52.02,6,224,-9.84,46.5,57.33,2.24,15.18,15.88,45.68,46.18,6.29,35.7102522365633,8.33558706858366,55.954160694853,0.762928255177257,6.49,22.15,72.44,6.41,86.27,5.47,25.64,51.53,12.82,92.31,10.95,21.9,32.85,21.9,0.96,7.46,92.54,12.84,8.56,82.47,0.56,3,67.4013265299284,167.760688047708,67.4013265299284,129.5556,0.0809209235323267,0,0,0,1.41059027777778,52.4088541666667,42.7560763888889,11146659.3870985,11287769.7444661,2050991.58051215,1979071.47298177,1955120.15961372,1108734.48404948,170899.209852431,0.847764756944444,2.97760693147843,95.460369760205,1.56202330831655,63.28125,0,0,0,0,0,-4.54210812934896,1.42931805146438,11.1833111642832,4.47403591796329,9.82184356349562,14.613869098723,0,1,0
"19050","Argelia",0.238909085592395,0.00484394501688014,0.00235774527420282,0.203243083627791,0.19,0.57,26.28,33.96,90.65,9.35,47.96,6,674,6.55,58.1,92.6,4.77,9.81,10.33,47.25,49.79,2.34,21.0962353310796,7.07480080273181,71.8289638661885,0.74129261646099,5.6,19,105.56,8.05,78.07,5.34,20.12,92.98,4.02,97.59,34.12,166.82,7.58,22.75,0.94,30.1,69.9,50.17,32.53,89.85,3.25,1,74.9090079405862,141.477743507972,74.9090079405862,175.1367,0.194017443642683,0,1,492.436201780415,111.018060005826,1383.41101077775,12.8804981066123,11631948.6276216,11742275.1569327,1885128.90631372,1749184.88348383,1724776.80487183,888215.838807166,131797.464571803,0.219196038450335,2.49245269125985,96.2447537000221,1.26279360871806,81.1498689193126,1,0,0,0,0,-4.96966445658699,1.01751993470136,11.8199984831499,3.73122029460346,10.2206313351375,14.5170853119991,0,0,1
"19075","Balboa",0.45010901827639,0.00775525992888455,0.0122073320924848,0.245466745884741,0.08,13.03,24.03,56.88,75.27,24.73,51.21,6,329,-10.57,53.4,76.73,5.29,10.16,10.71,47.27,48.17,2.1,34.6192853130591,7.95156026724688,57.4291544196941,1.24204856610861,4.38,17.2,82.13,11.48,86.89,5.9,8.2,63.54,8.2,90.57,65.82,84.63,56.42,9.4,18.14,21.41,78.59,46.56,28.98,95.46,1.12,87,80.7122459807408,162.570528862067,80.7122459807408,129.9689,0.154751222425147,0,1,349.349544072948,2.02520252025203,200.2700270027,14.2101710171017,10757030.4387939,10873787.8189919,1888145.08132313,1778278.28654365,1749869.38550855,953708.755715572,67297.999549955,0.3496399639964,3.36752376937848,95.5271415858742,1.10533464474732,51.1251125112511,1,0,0,0,0,-4.24165926112254,2.33608061553977,11.607023954424,4.23178497134334,10.0087480631936,14.4861273655555,0,1,0
"19100","Bolívar",0.500368429949404,0.00304609712951263,0.00628201529723791,0.158401610971324,7.31,5.05,20.8,82.99,88.06,11.94,50.29,6,717,-13.48,48.5,74.46,2.35,10.9,11.72,47.12,48.15,2.82,30.7673366836739,8.45360555392663,60.7790577623994,1.43701912926916,3.89,19.07,85.62,7.71,87.11,6.16,12.85,58.23,7.71,96.4,21.43,61.62,13.4,42.86,4.33,11.35,88.65,23.89,18.5,91.59,1.19,13,80.2740578032875,177.728682374013,80.2740578032875,129.5657,0.00577925670928999,0,0,0,0.236810945928167,55.8610709117221,19.9336929351401,11096044.0102618,11167889.5674253,1802713.38560716,1734888.13982371,1711495.57763452,792390.032206289,133025.859913169,0.676831995790028,4.85073622439366,93.6068265632992,1.5424372123072,63.6100513090383,0,0,0,0,1,-4.63257537386666,0.492291117151286,11.124689761309,4.01476008287926,10.5454730090001,14.4759998505163,0,1,0
"19110","Buenos Aires",0.449296998852418,0.00637103577277436,0.0100005839773152,0.222576425169483,26.22,66.32,26.58,47.54,97.19,2.81,55.07,6,410,16.6,51.1,65.35,1.88,8.88,9.05,39.67,43.26,2.88,40.9332800933521,6.37873620937268,52.6879836972753,2.04860819224064,4.21,20.08,62.48,9.94,81.02,5.86,6.01,65.03,6.01,94.59,53.54,78.73,25.19,53.54,1.8,12.71,87.29,51.98,16.54,86.02,2.06,22,62.3510546603733,42.7745771495431,62.3510546603733,96.6106,0.67048460438225,0,1,357.924390243902,0.757506893312729,180.377541435627,16.9175529497318,8017483.46538194,8104184.88316214,1351688.7801715,1287451.77844438,1265253.00833258,703005.507196315,96544.9990000909,0.292549162197376,6.27558539381038,92.8934010152284,0.831013590961192,36.1148986455777,1,0,0,0,0,-4.13686639727204,1.89731996488855,11.0703346745413,4.4664826662142,10.4043537454075,14.1858552886003,0,1,0
"19130","Cajibío",0.508721465589494,0.00347380849470228,0.00729331691925184,0.167873629289616,7.18,3.22,26.87,52.8,95.83,4.17,58.95,6,526,21.06,52.1,71.61,3,11.44,11.95,46.47,47.24,3,34.9673819646839,8.61561734107638,56.4170006942397,1.53821452675608,3.97,19.88,69.56,6.78,86.5,6.07,8.44,59.55,6.33,94.51,49.48,42.41,21.21,47.13,2.69,5.6,94.4,34.61,8.04,88.84,1.25,21,22.4216274461222,85.5953711370641,22.4216274461222,45.5799,0.18805511534921,0,0,107.897338403042,0.393133272179269,59.6688944218757,13.8125191106452,2134027.31188573,8586545.48182851,1464784.17208317,1341075.41698336,1309028.91728913,681473.968549338,233930.136176997,0.385008517887564,4.28993226422741,95.0790250680252,0.631042667747351,41.0824269427336,1,0,0,0,0,-4.75078458474726,2.56849119176912,11.725685332754,4.44956845389352,10.7317336465177,14.3453822336367,0,1,0
"19137","Caldono",0.553082146130063,0.00477930967414889,0.0111952566482734,0.191305469864136,75.58,0.31,31.05,37.33,95.77,4.23,64.86,6,373,29.25,50.6,91.52,2.18,11.7,12.05,39.43,42.61,3.15,36.5952131594754,8.31996040572655,55.0848264347981,1.48681263351874,3.85,19.81,75.28,5.14,59.97,3.98,13.2,79.76,1.47,58.8,39.12,19.56,22.01,12.23,2.14,11.14,88.86,79.43,9.55,91.4,2.05,25,40.6333448601738,66.445023042573,40.6333448601738,71.6375,0.121048926963269,0,1,6.77211796246649,1.4093791911982,38.6897319906344,12.8435361778546,1942036.18490146,8801626.02666455,1467311.55445432,1409943.78591075,1389706.32515742,714362.991861972,116967.256507013,0.192584846900502,4.07802368576175,95.2842827286855,0.637693585552757,13.7550862676457,1,1,1,0,0,-4.74477897382096,1.44026494360718,10.957237900963,4.75255517290115,10.6917403465236,14.2756398528884,0,1,0
"19142","Caloto",0.381381786380106,0.00492713566605211,0.00530551647503933,0.190987034374947,52.4,25.35,24.67,51.53,83.22,16.78,51.07,5,302,-18.26,48.21,87.66,2.74,7.97,9.24,43.32,45.45,34.8,16.4828555737662,70.5873936509658,12.929750775268,9.54968262863286,4.2,19.91,72.86,5.74,87.16,6,10.9,58.82,10.9,86.1,209,129.38,56.4,132.7,3.15,28.12,71.88,54,27.51,92.47,5.37,35,71.2737997770592,42.906770253524,71.2737997770592,99.8173,0.469539639896767,0,1,3.66887417218543,1.35217797237694,77.5248704162777,119.297511348637,10112801.2041467,10374547.0180934,1788702.38025176,1252896.06013972,1223441.50806478,656012.493223013,35143.7932133544,0.229548308167799,18.5327164573695,80.6609385327165,0.806345009914078,24.9637809471685,1,0,0,0,0,-2.53687365442076,3.95215233037469,13.1915280316782,4.64899566552812,10.3437082919346,14.416458111337,0,1,0
"19212","Corinto",0.313138472537286,0.00508776313600209,0.00376871935286487,0.196047121522768,46.54,11.18,23.04,57.2,50.89,49.11,47.75,6,294,-10.68,47.25,88.32,3.2,8.68,11.47,45.82,47.99,4.44,31.9170300660312,10.1498532166644,57.9331167173043,1.39371903115592,7.55,12.15,109.14,5.7,90.85,6.25,6.31,65.34,3.15,97.16,82.87,280.17,23.68,39.46,7.84,56.77,43.23,57.59,56.43,96.93,11.01,3,84.595336133337,49.0383110902683,84.595336133337,128.5956,0.219239650993553,0,1,7.31972789115646,1.21515631328939,117.686047796148,33.0669808889053,10096793.2701698,10200113.9168907,1665831.31549877,1508079.76856796,1483634.74076665,771768.710166808,77930.6239643554,0.36163788341864,16.2220593624038,82.6053499450348,1.17259069256138,25.7723607173105,1,1,0,0,0,-4.32708766665985,3.03500144918619,11.9687765865729,4.52406858455105,10.2093901190181,14.3715553715323,1,0,0
"19256","El Tambo",0.534467488422076,0.00114158448402128,0.00254281929597808,0.0943488165243152,10.28,10.73,24.48,64.76,95.33,4.67,56.21,6,2615,17.66,52.5,77.89,4.76,10.35,10.69,46.25,48.63,3.37,60.6936164760792,7.79724328880833,31.5091402351125,3.60754465842972,5.69,22.93,71.49,9.49,81.68,5.66,14.74,41.48,10.53,94.53,68.72,85.44,27.86,53.86,1.72,8.34,91.66,62.07,8.12,85.73,1.16,31,45.5029321303846,107.862596246417,45.5029321303846,65.889,0.819216015748464,0,1,359.16673040153,1.5465888159038,106.08904181003,15.7931046467174,8194806.92854412,8244213.88576096,1443956.01101727,1366076.37496959,1339829.74175442,654054.799412644,82770.0538525701,0.374013832412331,4.79908460658276,94.083596957663,1.11731843575419,36.6263510930386,1,1,1,0,1,-4.12698579986037,1.91189635005673,11.2629197862303,3.09467222140889,10.960339906956,14.2386361737854,0,0,1
"19290","Florencia",0.523549226857493,0.00634096602375035,0.0139109248008639,0.225278880286301,0.11,0.07,22.06,75.39,77.67,22.33,52.52,6,56,-13.7,56,87.38,5.67,9.11,10.2,48.1,49.77,3.96,38.4191383972838,8.04675449033437,53.5341071123818,0.278366121780566,4.9,12.57,97.01,1.59,95.24,6.14,0,76.92,0,98.41,19.03,0,57.1,95.17,1.8,16.63,83.37,88.41,22.63,97.84,2.24,23,101.793235219915,197.686547530924,101.793235219915,170.9218,0.300100070222814,0,0,0,3.64473431805103,79.8004987531172,27.3988106656436,16774178.2035296,17287310.5277192,2752602.62574333,2700025.72472664,2653375.1289085,1510966.95914061,99259.3190101669,0.530596585459428,4.97368867764386,93.1251060940418,1.90120522831438,60.0422021868406,0,0,0,0,0,-4.287402115524,1.45449685044077,10.8700321581044,4.58883753136719,8.55891078476811,14.8634826528768,1,0,0
"19300","Guachené",0.314021505745962,0.00115685817214083,0.000861410426553789,0.0934642812091606,0.31,95.8,22.86,53.61,67.64,32.36,45.95,4,97,0,64.5,73.04,1.7,4.45,5,40.29,43.1,4.54,30.3469970657424,39.6771673545145,29.9758355797431,2.27024231674778,4.7,16.64,113.21,11.99,90.07,5.96,20.55,49.21,10.27,100,362.72,65.49,10.08,65.49,6.58,25.44,74.56,88.39,32.17,99.25,4.14,4,77.0377432977887,35.8911610153695,77.0377432977887,100.6654,0.003643850519097,0,0,0,0.344488188976378,68.9468503937008,24.6801181102362,14633888.3475394,15033249.0229331,1848732.45875984,927738.962007874,881800.932480315,580764.256840551,307413.068257874,0.469734251968504,40.3570854109699,59.618787196397,0.0241273926331028,36.1318897637795,0,0,0,0,0,-3.54914761225296,2.8268640151042,13.7332082541397,5.3580474707558,9.91936090169242,14.5838327073498,1,0,0
"19318","Guapi",0.549766265076062,0.00219918387874751,0.00512038748396201,0.130158737268763,1.07,97.94,33.51,30.8,49.82,50.18,68.72,6,2885,-3.65,48.1,74.37,1.93,16.2,21.26,38.31,42.09,6.66,23.4563745323176,7.74414227818395,68.7994831894984,1.21163322628748,2.49,22.58,60.34,8.36,71.97,5.02,8.65,58.32,2.88,91.07,32.59,50.69,36.21,14.48,0.24,91.46,8.54,19.15,10.33,51.68,6.38,18,120.122826317189,165.172463439499,120.122826317189,563.4249,39.4774927350427,1,0,55.8225303292894,2.90350128095645,190.67463706234,35.8695132365499,10564136.9846627,10672927.5007003,2028199.83224594,1928943.68471392,1906083.94466268,1075507.41827498,74766.8472075149,0.189615713065756,11.6383677108238,85.0954329942862,3.26619929488998,54.5072587532024,1,0,1,0,0,-4.54219324901445,4.30748884856089,11.5054591365005,2.32630161961136,10.2844891884659,14.5588596102671,0,1,0
"19355","Inzá",0.504403345724611,0.00714347744623452,0.0149002890445202,0.242002241180071,52.24,0.14,30.19,41.71,96.58,3.42,65.21,6,685,7,44.8,86.86,2.27,10.69,11.09,47.73,48.57,4.51,43.0988688723067,8.1756843018633,48.72544682583,1.22316034471121,4.11,16.29,66.12,6.91,69.91,4.53,16.13,73.65,9.22,79.72,34.28,17.14,3.43,10.28,0.67,14.41,85.59,24.64,21.8,90.54,1.53,3,51.5027520962082,110.884284327699,51.5027520962082,85.7557,2.65659899083417,0,0,0,0.446137478980061,28.1409794433577,24.3687154672432,9349379.09650297,9451784.98356155,1660561.04128488,1585338.26407907,1546471.09053159,836765.488589176,47413.9795119942,0.26503998078177,5.53058723024923,92.8388366823905,1.63057608736025,29.3146641957514,0,0,1,0,0,-4.52806809008681,3.24238348717521,11.2282093524516,3.8155121050473,10.2798327620704,14.3508190283975,0,0,1
"19364","Jambaló",0.619395990544596,0.0037600097359648,0.0106645305442734,0.166725673881417,98.83,0.18,30.43,30.8,90.41,9.59,59.1,6,252,21.99,57.8,73.25,2.4,12.66,13.61,42.82,43.17,2.67,19.6263463497088,8.47464820796465,71.8990054423265,0.597296729566598,1.35,29.98,68.43,7.64,70.18,4.79,0,68.23,0,55.64,5.48,10.96,5.48,0,0.03,34.79,65.21,68.72,20.99,86.71,3.49,31,52.4341163854131,67.882818967317,52.4341163854131,98.063,0.0499994517146886,0,1,8.86111111111111,3.33976934717946,111.412618066065,13.328810729009,11182396.8648959,11335658.8150603,1742194.93696185,1633068.75812764,1631835.00819287,883579.54594792,172357.799718207,0.0502530918958409,3.94367842953961,95.2442159383033,0.812105632157046,13.1346866357042,1,1,0,0,0,-4.82575115391155,5.66274505656474,11.600260095688,4.33833594604915,9.8607366154685,14.4649945954486,0,1,0
"19392","La Sierra",0.513091533789568,0.00545300318602171,0.0116592285221911,0.210445701116623,18.45,12.99,22.25,77.89,84.14,15.86,54.55,6,203,-1.72,54,80.87,1.77,9.61,10.19,50.89,51.05,3.9,61.4381244503469,6.61847317148259,31.9434023781705,0.833656557616515,4.04,18.85,83.92,12.96,88.89,5.67,18.52,68.88,9.26,98.15,112.42,18.74,65.58,56.21,5.99,7.6,92.4,40.12,12.93,92.37,1.33,14,37.9208683745036,136.855512973729,37.9208683745036,60.1813,0.383814390881835,0,0,0,1.50375939849624,43.2551968155683,22.0406899601946,12269512.8076073,12524838.851747,2240504.54586466,2145788.51455108,2137982.70703229,1223107.56355595,46697.3866430783,0.425829279080053,5.35350596450393,93.2596256425177,1.38686839297837,53.9761167624945,0,0,0,0,0,-3.96460743139072,0.986953223863619,11.4586385501013,4.02873880512411,9.33300038471207,14.6428397649128,0,1,0
"19397","La Vega",0.527577733005663,0.00570292135691437,0.0125741189862332,0.212545701097264,48.86,0.14,22.64,71.86,96.87,3.13,53.49,6,492,-36.25,48.21,49.67,4.14,10.16,10.28,45.35,47.18,1.53,25.5760498080405,8.87033232790729,65.5536178640523,0.713242855671184,3.29,30.66,59.64,8.47,78.74,5.14,16.95,38.75,5.65,92.09,16.3,12.22,20.37,32.6,0.62,14.04,85.96,39.65,18.85,95.48,0.56,2,49.8973245812996,151.191819510865,49.8973245812996,97.6144,4.39012605073016,0,0,0,0.327560086803423,41.6410760348852,15.3781271752037,8638827.14732015,8762574.75301969,1465166.39004217,1429696.20763215,1412222.81791754,656831.628424027,349226.778528436,0.363386971297547,4.21947965310207,94.1127418278853,1.66777851901268,33.9229414895795,0,0,0,0,1,-4.8908871795879,0.760686301027074,10.4764476904109,3.97874663747105,10.1032805902421,14.4112616273909,0,1,0
"19418","López de Micay",0.67339111537938,0.00420143994977041,0.0143155329906009,0.177679113620225,6.75,92.25,38.46,18.42,90.89,9.11,76.09,6,3297,-3.86,50.9,83.18,3.45,14.88,15.85,34.17,38.67,3.24,16.7490248794221,7.07480080273181,76.1761743178461,0.500234147143305,1.53,50.71,31.24,8.79,49.06,3.85,9.43,24.44,9.43,70.75,5.33,37.31,0,10.66,0,55.06,44.94,11.62,10.9,36.15,0.35,18,92.4222840621228,86.3966628887351,92.4222840621228,563.4249,34.9644709938484,1,0,56.6081286017592,16.0073880252424,200.14365604638,19.4705248576266,9477613.14965882,9641815.26643066,1919039.62505772,1802288.71684367,1780903.34703196,1079341.55492278,223841.018880509,0.0764968446975527,3.169639083763,94.4636970670273,2.3666638492097,39.4643681699246,1,0,0,0,0,-5.02006037926025,5.63483010728331,11.6677979546362,1.80005827204275,9.87770809954864,14.5776615771222,0,0,1
"19450","Mercaderes",0.507048831931205,0.00520481251130329,0.0109386268959071,0.206267886216326,0.17,20.21,21.17,89.15,75.05,24.95,54.23,6,640,28.17,54.2,52.24,3.85,11.47,12.58,44.85,46.66,3.7,43.072469770051,8.07487130284121,48.8526589271078,1.24093013000506,4.29,29.52,59.78,7.69,87.57,5.79,5.92,40.26,5.92,99.41,126.63,65.5,34.93,34.93,0.8,31.02,68.98,66.75,28.73,94.9,1.9,13,99.6693625542598,191.065709936246,99.6693625542598,140.5185,1.36797431574923,0,1,0,5.93828837570347,54.9194643896759,15.444207257908,7410462.92738211,7515137.12524743,1278102.29710848,1244030.79398409,1226334.73995731,686715.459926257,8165.76821269164,0.380011643702697,5.51935847638141,92.5698534018293,1.91078812178925,28.6085775276538,0,0,0,0,0,-4.39058434131335,1.63218009503491,10.4362166283902,3.66893181630424,10.1567722607623,14.0672556109851,0,0,1
"19455","Miranda",0.198653480586513,0.00295422572535604,0.00112773336633902,0.169046832015641,19.61,28.82,22.07,62.35,43.26,56.74,46.49,5,212,-5.67,51,88.41,2.63,6.13,8.7,48.73,50.15,7.36,14.5430952157788,52.9732678823156,32.4836369019055,4.29309989498876,5.24,16.1,99.32,7.48,90.03,6.11,8.31,53.12,5.54,95.01,129.2,100.84,28.36,40.97,7.49,70.88,29.12,84.82,76.48,97.85,13.42,18,93.5024022172171,45.5443809057303,93.5024022172171,131.6104,0.138460090255214,0,1,6.7877358490566,1.2588271415413,66.8406509057415,51.9855695425238,9666226.67249002,9768372.46349401,1544616.0851397,974542.395486644,947826.563647528,505441.804544059,127010.896898987,0.323426466073073,35.9335779107936,62.761150801313,1.30527128789342,31.9588578446423,1,0,0,0,0,-3.38381112384836,3.65352672625399,13.2535209115479,5.07009845736704,10.3911468982703,14.3293079508702,1,0,0
"19473","Morales",0.524107460035218,0.00582758801330554,0.0126976470575373,0.215001398206854,52.18,2.14,28.2,42.74,94.76,5.24,58.6,6,418,59.23,43.7,73.38,3.33,10.74,11.26,43.75,45.67,2.83,43.3307242267404,8.08679651838683,48.5824792548728,1.85079241139528,3.52,29.2,64.7,5.44,69.77,4.75,11.19,60.41,7.46,70.9,25.31,20.25,30.37,7.59,1.46,10.01,89.99,53.11,8.45,78.59,1.09,8,41.8901414802355,68.611118300733,41.8901414802355,116.9383,0.254842393289999,0,1,366.581339712919,1.50484019495542,44.5836983132314,9.37897266581317,1973179.42939604,7681366.08546145,1330519.57956562,1241216.35640006,1189872.83794893,649888.70493902,261520.395391146,0.173371066639714,4.28705503787625,94.9286049473755,0.784340014748274,23.5181816139973,1,0,0,0,0,-4.5378205945198,3.19551047461726,11.3997928598925,4.61035671267539,10.7037611885639,14.2805267549687,0,1,0
"19513","Padilla",0.378594269667572,0.00659930717581883,0.0069961523472339,0.220930457935599,0.82,95.9,21.67,69.83,55.73,44.27,48.49,6,68,19.21,42.1,70.59,1.98,4.46,4.64,41.36,44.21,6.04,41.3600333827758,7.81865317319793,50.8213134440262,0.695773458438538,6.41,8.55,93.08,15.57,88.52,5.89,8.2,67.39,0,98.36,80.38,150.71,10.05,110.52,8.7,34.77,65.23,93.81,64.93,98.71,2.58,5,85.4289210053673,34.83584166056,85.4289210053673,121.4787,0.0456484221920014,0,0,0,0.189735319229675,27.6064889479177,26.5231002751162,5384180.32681909,5602637.33023432,1311142.29807419,1160007.41030263,1122250.76757423,676191.131676311,130231.661322455,0.44910350061664,25.8175067828074,73.6255890332715,0.556904183921177,34.8638649084527,0,0,0,0,0,-4.07543214045847,2.92136478639934,11.9259280135456,5.04979190263078,9.26302769425519,14.1811073551213,0,0,0
"19517","Páez",0.557053293913796,0.00226090335603594,0.0053456226555541,0.131250934078747,82.78,5.89,37.23,23.86,95.05,4.95,77.43,6,1599,43.95,55,70.32,4.05,11.08,11.7,41.89,44.42,3.54,39.7180133903952,8.11738863616622,52.1645979734386,1.92070663935301,2.57,23.23,64.34,3.82,75.55,5,16.15,75.45,5.87,59.91,12.97,34.57,12.97,2.16,0.07,49.98,50.02,14.05,27.44,79.6,1.35,7,71.7948853151227,98.3242930535407,71.7948853151227,147.1419,0.0815320413956042,0,0,0,0.209911646279793,26.6587790775337,12.1382363605137,6946793.27486976,6999630.54386199,1187052.41186573,1143716.96610881,1122346.15638418,610757.920806061,107667.271377593,0.0594813274049196,5.19411052616762,93.3391514878523,1.46673798598012,7.81634639238212,0,0,0,0,0,-4.66369924474265,5.46320568125213,10.6767261878181,3.43527669531502,10.8667191205787,14.0738047688688,0,0,1
"19532","Patía",0.427856368967543,0.00226908294763249,0.00315958697715313,0.131376339289873,0.14,71.41,23.27,61.59,63.93,36.07,50.25,6,723,11,42.7,75.62,3.09,10.52,12.63,45.37,47.25,5.63,32.9757008898065,8.14274692330827,58.8815521868852,1.7842130695575,5.49,20.62,88.34,9.59,78.32,5.32,6.12,61.81,4.08,97.35,180.19,80.68,43.03,45.72,2.22,52.12,47.88,51.61,42.51,90.97,6.27,26,62.8628111412286,149.40878470533,62.8628111412286,98.3859,0.287882285276244,0,1,402.275242047026,2.26133881536683,52.6789155852499,31.6864962096878,8640011.74403187,8710117.55199794,1553968.50620583,1419068.02911474,1380524.38715148,732810.570962354,127396.111216754,0.325838365668765,10.8391827525696,86.7416645775884,2.41915266984207,40.467685982269,1,0,0,0,0,-4.43983088258156,2.92151327242678,11.8122925788174,3.9982007016692,10.5691350593935,14.3351162939402,0,1,0
"19533","Piamonte",0.457677045801199,0.0068641504627966,0.0112521525110129,0.231770775266193,18.43,2.99,31.76,27.19,77.3,22.7,59.62,6,1162,24.4,61.5,73.24,3.47,6.09,6.43,46.06,49.19,4.47,45.8486745702135,5.23938147711353,48.9119439526729,0.569250627224238,3.13,17.93,86.41,4.17,78.33,5.33,0,78.77,0,93.33,22.21,77.74,0,33.32,0.64,47.2,52.8,70.99,30.43,55.06,0.97,31,144.749898841599,246.813189983337,144.749898841599,344.8403,7.79579872323672,0,0,252.40017211704,1.64863472436888,171.458011334364,19.5002575991757,14677567.4578053,14945149.1249871,2475866.30303967,2196739.737661,2153728.24956208,1340971.29366306,171310.647810407,0.211746522411128,5.83756345177665,93.5339618080735,0.628474740149867,72.8902627511592,1,0,0,0,0,-4.19350425162154,2.68754057941884,12.5394205972904,2.13298230860787,9.18039649560311,14.7890043285594,0,0,1
